actor1,actor2,weight
Derek Chang,Puff Kuo,1
Chen Wei-min,Derek Chang,1
Derek Chang,Li Kuan-yi,1
Derek Chang,Mountain Kao,1
Puff Kuo,Tracy Chou,1
Chen Wei-min,Tracy Chou,1
Li Kuan-yi,Tracy Chou,1
Mountain Kao,Tracy Chou,1
Chen Wei-min,Puff Kuo,1
Li Kuan-yi,Puff Kuo,1
Mountain Kao,Puff Kuo,1
Chen Wei-min,Li Kuan-yi,1
Chen Wei-min,Mountain Kao,1
Li Kuan-yi,Mountain Kao,1
Hannah Emily Anderson,Jeremy Irvine,1
Evie Templeton,Jeremy Irvine,1
Jeremy Irvine,Pearse Egan,1
Jeremy Irvine,Nicola Alexis,1
Jeremy Irvine,Robert Strange,1
Emily Carding,Jeremy Irvine,1
Eve Macklin,Jeremy Irvine,1
Evie Templeton,Hannah Emily Anderson,1
Hannah Emily Anderson,Pearse Egan,1
Hannah Emily Anderson,Nicola Alexis,1
Hannah Emily Anderson,Robert Strange,1
Emily Carding,Hannah Emily Anderson,1
Eve Macklin,Hannah Emily Anderson,1
Evie Templeton,Pearse Egan,1
Evie Templeton,Nicola Alexis,1
Evie Templeton,Robert Strange,1
Emily Carding,Evie Templeton,1
Eve Macklin,Evie Templeton,1
Nicola Alexis,Pearse Egan,1
Pearse Egan,Robert Strange,1
Emily Carding,Pearse Egan,1
Eve Macklin,Pearse Egan,1
Nicola Alexis,Robert Strange,1
Emily Carding,Nicola Alexis,1
Eve Macklin,Nicola Alexis,1
Emily Carding,Robert Strange,1
Eve Macklin,Robert Strange,1
Emily Carding,Eve Macklin,1
Geert Van Rampelberg,Samuel Suchod,1
Anna Sacuto,Geert Van Rampelberg,1
Cathy Ruiz,Geert Van Rampelberg,1
Anna Sacuto,Samuel Suchod,1
Cathy Ruiz,Samuel Suchod,1
Anna Sacuto,Cathy Ruiz,1
Madelaine Petsch,Richard Brake,1
Ema Horvath,Madelaine Petsch,1
Gabriel Basso,Madelaine Petsch,1
Madelaine Petsch,Pedro Leandro,1
Madelaine Petsch,Rachel Shenton,1
George Young,Madelaine Petsch,1
Kyle Breitkopf,Madelaine Petsch,1
Ema Horvath,Richard Brake,1
Gabriel Basso,Richard Brake,1
Pedro Leandro,Richard Brake,1
Rachel Shenton,Richard Brake,1
George Young,Richard Brake,1
Kyle Breitkopf,Richard Brake,1
Ema Horvath,Gabriel Basso,1
Ema Horvath,Pedro Leandro,1
Ema Horvath,Rachel Shenton,1
Ema Horvath,George Young,1
Ema Horvath,Kyle Breitkopf,1
Gabriel Basso,Pedro Leandro,1
Gabriel Basso,Rachel Shenton,1
Gabriel Basso,George Young,1
Gabriel Basso,Kyle Breitkopf,1
Pedro Leandro,Rachel Shenton,1
George Young,Pedro Leandro,1
Kyle Breitkopf,Pedro Leandro,1
George Young,Rachel Shenton,1
Kyle Breitkopf,Rachel Shenton,1
George Young,Kyle Breitkopf,1
Adam DiMarco,Nina Kiri,1
Michèle Duquet,Nina Kiri,1
Keana Bastidas,Nina Kiri,1
Jeff Yung,Nina Kiri,1
Nina Kiri,Ryan Turner,1
Ari Millen,Nina Kiri,1
Marisol D’Andrea,Nina Kiri,1
Adam DiMarco,Michèle Duquet,1
Adam DiMarco,Keana Bastidas,1
Adam DiMarco,Jeff Yung,1
Adam DiMarco,Ryan Turner,1
Adam DiMarco,Ari Millen,1
Adam DiMarco,Marisol D’Andrea,1
Keana Bastidas,Michèle Duquet,1
Jeff Yung,Michèle Duquet,1
Michèle Duquet,Ryan Turner,1
Ari Millen,Michèle Duquet,1
Marisol D’Andrea,Michèle Duquet,1
Jeff Yung,Keana Bastidas,1
Keana Bastidas,Ryan Turner,1
Ari Millen,Keana Bastidas,1
Keana Bastidas,Marisol D’Andrea,1
Jeff Yung,Ryan Turner,1
Ari Millen,Jeff Yung,1
Jeff Yung,Marisol D’Andrea,1
Ari Millen,Ryan Turner,1
Marisol D’Andrea,Ryan Turner,1
Ari Millen,Marisol D’Andrea,1
Ginnifer Goodwin,Jason Bateman,1
Ginnifer Goodwin,Ke Huy Quan,1
Fortune Feimster,Ginnifer Goodwin,1
Andy Samberg,Ginnifer Goodwin,1
David Strathairn,Ginnifer Goodwin,1
Ginnifer Goodwin,Idris Elba,1
Ginnifer Goodwin,Shakira,1
Jason Bateman,Ke Huy Quan,1
Fortune Feimster,Jason Bateman,1
